round 01 epoch 001 | train 0.817970 | validation 0.758045
round 01 epoch 002 | train 0.787241 | validation 0.730411
round 01 epoch 003 | train 0.753682 | validation 0.700528
round 01 epoch 004 | train 0.716371 | validation 0.667868
round 01 epoch 005 | train 0.678911 | validation 0.638550
round 01 epoch 006 | train 0.648959 | validation 0.616571
round 01 epoch 007 | train 0.625312 | validation 0.595552
round 01 epoch 008 | train 0.601736 | validation 0.572526
round 01 epoch 009 | train 0.576239 | validation 0.547265
round 01 epoch 010 | train 0.548746 | validation 0.520359
round 01 epoch 011 | train 0.520480 | validation 0.491842
round 01 epoch 012 | train 0.491401 | validation 0.461862
round 01 epoch 013 | train 0.460461 | validation 0.428759
round 01 epoch 014 | train 0.426793 | validation 0.393014
round 01 epoch 015 | train 0.392751 | validation 0.360270
round 01 epoch 016 | train 0.362132 | validation 0.331304
round 01 epoch 017 | train 0.334392 | validation 0.304148
round 01 epoch 018 | train 0.308917 | validation 0.278607
round 01 epoch 019 | train 0.284947 | validation 0.256337
round 01 epoch 020 | train 0.264278 | validation 0.238129
