round 02 epoch 001 | train 0.770687 | validation 0.659380
round 02 epoch 002 | train 0.644936 | validation 0.436343
round 02 epoch 003 | train 0.449646 | validation 0.301990
round 02 epoch 004 | train 0.345495 | validation 0.216639
round 02 epoch 005 | train 0.240939 | validation 0.114364
round 02 epoch 006 | train 0.162179 | validation 0.082619
round 02 epoch 007 | train 0.141026 | validation 0.072491
round 02 epoch 008 | train 0.130199 | validation 0.064533
round 02 epoch 009 | train 0.123943 | validation 0.060114
round 02 epoch 010 | train 0.119797 | validation 0.058590
round 02 epoch 011 | train 0.116803 | validation 0.055525
round 02 epoch 012 | train 0.114633 | validation 0.053286
round 02 epoch 013 | train 0.112913 | validation 0.052214
round 02 epoch 014 | train 0.111840 | validation 0.051048
round 02 epoch 015 | train 0.110541 | validation 0.050464
round 02 epoch 016 | train 0.109548 | validation 0.049515
round 02 epoch 017 | train 0.109228 | validation 0.048962
round 02 epoch 018 | train 0.108142 | validation 0.048510
round 02 epoch 019 | train 0.107385 | validation 0.047725
round 02 epoch 020 | train 0.106961 | validation 0.047371
